output,label,summary_csv,n_items,mean_letter_grade,n_items_letter_grade,mean_additions_unsupported_transcript_and_primekg,n_items_additions_unsupported_both,mean_additions_supported_transcript_or_primekg,n_items_additions_supported_tr_or_pk
baseline,Base,/home/ashtondy/School/cs/cs429/Soap_Agents/Output_baseline/analysis/gt_validator_summary.csv,200,1.8368421052631578,190,0.42196531791907516,173,5.3468208092485545,173
no_mkg,No KG,/home/ashtondy/School/cs/cs429/Soap_Agents/Output_no_mkg/analysis/gt_validator_summary.csv,200,1.9738219895287958,191,0.10285714285714286,175,5.417142857142857,175
full,Full,/home/ashtondy/School/cs/cs429/Soap_Agents/Output_full/analysis/gt_validator_summary.csv,200,2.00507614213198,197,0.192090395480226,177,5.745762711864407,177
